entity_id	status	effective	asserted_on	recorded	source_id
SSA:0010183	alive	1993		2026-07-28	BIGGS-SHEET
SSA:0010184	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010185	alive	2014		2026-07-28	BIGGS-SHEET
SSA:0010186	alive	2018		2026-07-28	BIGGS-SHEET
SSA:0010187	alive	2021		2026-07-28	BIGGS-SHEET
SSA:0010188	alive	2002		2026-07-28	BIGGS-SHEET
SSA:0010189	alive	2013		2026-07-28	BIGGS-SHEET
SSA:0010190	alive	2024		2026-07-28	BIGGS-SHEET
SSA:0010191	alive	2019		2026-07-28	BIGGS-SHEET
SSA:0010193	alive	1986		2026-07-28	BIGGS-SHEET
SSA:0010194	alive	2004		2026-07-28	BIGGS-SHEET
SSA:0010195	alive	2007		2026-07-28	BIGGS-SHEET
SSA:0010196	alive	2011		2026-07-28	BIGGS-SHEET
SSA:0010197	alive	2014		2026-07-28	BIGGS-SHEET
SSA:0010198	alive	2018		2026-07-28	BIGGS-SHEET
SSA:0010199	alive	1993		2026-07-28	BIGGS-SHEET
SSA:0010200	alive	2011		2026-07-28	BIGGS-SHEET
SSA:0010201	alive	2019		2026-07-28	BIGGS-SHEET
SSA:0010202	alive	2023		2026-07-28	BIGGS-SHEET
SSA:0010204	alive	1984		2026-07-28	BIGGS-SHEET
SSA:0010205	alive	1987		2026-07-28	BIGGS-SHEET
SSA:0010206	alive	2001		2026-07-28	BIGGS-SHEET
SSA:0010207	alive	2013		2026-07-28	BIGGS-SHEET
SSA:0010208	alive	2019		2026-07-28	BIGGS-SHEET
SSA:0010209	alive	2025		2026-07-28	BIGGS-SHEET
SSA:0010210	alive	2004		2026-07-28	BIGGS-SHEET
SSA:0010211	alive	2010		2026-07-28	BIGGS-SHEET
SSA:0010212	alive	2014		2026-07-28	BIGGS-SHEET
SSA:0010213	alive	2019		2026-07-28	BIGGS-SHEET
SSA:0010214	alive	1992		2026-07-28	BIGGS-SHEET
SSA:0010215	alive	2007		2026-07-28	BIGGS-SHEET
SSA:0010216	alive	2012		2026-07-28	BIGGS-SHEET
SSA:0010217	alive	2024		2026-07-28	BIGGS-SHEET
SSA:0010218	alive	2014		2026-07-28	BIGGS-SHEET
SSA:0010219	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010220	alive	2023		2026-07-28	BIGGS-SHEET
SSA:0010222	alive	1989		2026-07-28	BIGGS-SHEET
SSA:0010223	alive	2006		2026-07-28	BIGGS-SHEET
SSA:0010224	alive	2011		2026-07-28	BIGGS-SHEET
SSA:0010225	alive	2016		2026-07-28	BIGGS-SHEET
SSA:0010226	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010227	alive	2023		2026-07-28	BIGGS-SHEET
SSA:0010228	alive	1995		2026-07-28	BIGGS-SHEET
SSA:0010229	alive	2001		2026-07-28	BIGGS-SHEET
SSA:0010230	alive	2013		2026-07-28	BIGGS-SHEET
SSA:0010231	alive	2016		2026-07-28	BIGGS-SHEET
SSA:0010232	alive	2020		2026-07-28	BIGGS-SHEET
SSA:0010233	alive	2024		2026-07-28	BIGGS-SHEET
SSA:0010234	alive	2004		2026-07-28	BIGGS-SHEET
SSA:0010235	alive	2010		2026-07-28	BIGGS-SHEET
SSA:0010236	alive	1970		2026-07-28	BIGGS-SHEET
SSA:0010237	alive	1980		2026-07-28	BIGGS-SHEET
SSA:0010238	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010239	alive	2000		2026-07-28	BIGGS-SHEET
SSA:0010240	alive	2013		2026-07-28	BIGGS-SHEET
SSA:0010241	alive	2018		2026-07-28	BIGGS-SHEET
SSA:0010242	alive	2024		2026-07-28	BIGGS-SHEET
SSA:0010243	alive	2007		2026-07-28	BIGGS-SHEET
SSA:0010244	alive	2011		2026-07-28	BIGGS-SHEET
SSA:0010245	alive	2017		2026-07-28	BIGGS-SHEET
SSA:0010246	alive	1974		2026-07-28	BIGGS-SHEET
SSA:0010248	alive	1987		2026-07-28	BIGGS-SHEET
SSA:0010249	alive	2005		2026-07-28	BIGGS-SHEET
SSA:0010250	alive	2010		2026-07-28	BIGGS-SHEET
SSA:0010251	alive	2015		2026-07-28	BIGGS-SHEET
SSA:0010252	alive	1991		2026-07-28	BIGGS-SHEET
SSA:0010253	alive	1998		2026-07-28	BIGGS-SHEET
SSA:0010254	alive	2012		2026-07-28	BIGGS-SHEET
SSA:0010255	alive	2021		2026-07-28	BIGGS-SHEET
SSA:0010256	alive	2005		2026-07-28	BIGGS-SHEET
SSA:0010257	alive	1979		2026-07-28	BIGGS-SHEET
SSA:0010259	alive	1991		2026-07-28	BIGGS-SHEET
SSA:0010260	alive	1995		2026-07-28	BIGGS-SHEET
SSA:0010261	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010262	alive	2015		2026-07-28	BIGGS-SHEET
SSA:0010263	alive	2017		2026-07-28	BIGGS-SHEET
SSA:0010264	alive	2021		2026-07-28	BIGGS-SHEET
SSA:0010265	alive	1998		2026-07-28	BIGGS-SHEET
SSA:0010266	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010267	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010268	alive	2021		2026-07-28	BIGGS-SHEET
SSA:0010269	alive	2023		2026-07-28	BIGGS-SHEET
SSA:0010271	presumed_dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010272	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010273	alive	2006		2026-07-28	BIGGS-SHEET
SSA:0010274	alive	2009		2026-07-28	BIGGS-SHEET
SSA:0010275	alive	2016		2026-07-28	BIGGS-SHEET
SSA:0010277	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010278	alive	1995		2026-07-28	BIGGS-SHEET
SSA:0010279	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010280	alive	2014		2026-07-28	BIGGS-SHEET
SSA:0010281	alive	1988		2026-07-28	BIGGS-SHEET
SSA:0010282	alive	2001		2026-07-28	BIGGS-SHEET
SSA:0010283	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010284	alive	2023		2026-07-28	BIGGS-SHEET
SSA:0010285	alive	2011		2026-07-28	BIGGS-SHEET
SSA:0010286	alive	2024		2026-07-28	BIGGS-SHEET
SSA:0010287	alive	2016		2026-07-28	BIGGS-SHEET
SSA:0010288	alive	2024		2026-07-28	BIGGS-SHEET
SSA:0010290	alive	1980		2026-07-28	BIGGS-SHEET
SSA:0010291	alive	2006		2026-07-28	BIGGS-SHEET
SSA:0010292	alive	2010		2026-07-28	BIGGS-SHEET
SSA:0010293	alive	2017		2026-07-28	BIGGS-SHEET
SSA:0010295	presumed_dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010296	alive	1980		2026-07-28	BIGGS-SHEET
SSA:0010298	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010299	alive	2007		2026-07-28	BIGGS-SHEET
SSA:0010300	alive	2024		2026-07-28	BIGGS-SHEET
SSA:0010301	alive	2009		2026-07-28	BIGGS-SHEET
SSA:0010302	alive	2015		2026-07-28	BIGGS-SHEET
SSA:0010303	alive	2021		2026-07-28	BIGGS-SHEET
SSA:0010305	alive	1997		2026-07-28	BIGGS-SHEET
SSA:0010306	alive	2010		2026-07-28	BIGGS-SHEET
SSA:0010307	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010308	alive	2024		2026-07-28	BIGGS-SHEET
SSA:0010309	alive	2002		2026-07-28	BIGGS-SHEET
SSA:0010310	alive	2009		2026-07-28	BIGGS-SHEET
SSA:0010311	alive	2014		2026-07-28	BIGGS-SHEET
SSA:0010313	alive	1993		2026-07-28	BIGGS-SHEET
SSA:0010314	alive	1997		2026-07-28	BIGGS-SHEET
SSA:0010315	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010318	alive	1990		2026-07-28	BIGGS-SHEET
SSA:0010319	alive	2005		2026-07-28	BIGGS-SHEET
SSA:0010320	alive	2016		2026-07-28	BIGGS-SHEET
SSA:0010321	alive	2018		2026-07-28	BIGGS-SHEET
SSA:0010322	alive	2021		2026-07-28	BIGGS-SHEET
SSA:0010323	alive	2023		2026-07-28	BIGGS-SHEET
SSA:0010324	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010325	alive	2022		2026-07-28	BIGGS-SHEET
SSA:0010326	alive	2012		2026-07-28	BIGGS-SHEET
SSA:0010327	alive	2014		2026-07-28	BIGGS-SHEET
SSA:0010328	alive	2018		2026-07-28	BIGGS-SHEET
SSA:0010329	alive	2021		2026-07-28	BIGGS-SHEET
SSA:0010330	alive	2024		2026-07-28	BIGGS-SHEET
SSA:0010331	alive	1996		2026-07-28	BIGGS-SHEET
SSA:0010332	alive	2013		2026-07-28	BIGGS-SHEET
SSA:0010333	alive	2015		2026-07-28	BIGGS-SHEET
SSA:0010334	alive	2018		2026-07-28	BIGGS-SHEET
SSA:0010335	alive	2024		2026-07-28	BIGGS-SHEET
SSA:0010336	alive	2002		2026-07-28	BIGGS-SHEET
SSA:0010337	alive	2012		2026-07-28	BIGGS-SHEET
SSA:0010338	alive	2017		2026-07-28	BIGGS-SHEET
SSA:0010339	alive	2022		2026-07-28	BIGGS-SHEET
SSA:0010340	alive	2007		2026-07-28	BIGGS-SHEET
SSA:0010341	alive	2018		2026-07-28	BIGGS-SHEET
SSA:0010342	alive	2021		2026-07-28	BIGGS-SHEET
SSA:0010343	alive	2013		2026-07-28	BIGGS-SHEET
SSA:0010345	alive	1990		2026-07-28	BIGGS-SHEET
SSA:0010346	alive	2006		2026-07-28	BIGGS-SHEET
SSA:0010347	alive	2000		2026-07-28	BIGGS-SHEET
SSA:0010350	alive	2007		2026-07-28	BIGGS-SHEET
SSA:0010351	unknown	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010353	unknown	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010354	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010359	alive	1992		2026-07-28	BIGGS-SHEET
SSA:0010360	alive	2005		2026-07-28	BIGGS-SHEET
SSA:0010361	alive	2023		2026-07-28	BIGGS-SHEET
SSA:0010362	presumed_dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010363	alive	1986		2026-07-28	BIGGS-SHEET
SSA:0010364	alive	1998		2026-07-28	BIGGS-SHEET
SSA:0010365	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010366	alive	2018		2026-07-28	BIGGS-SHEET
SSA:0010367	alive	2024		2026-07-28	BIGGS-SHEET
SSA:0010369	alive	1985		2026-07-28	BIGGS-SHEET
SSA:0010370	alive	2000		2026-07-28	BIGGS-SHEET
SSA:0010371	alive	2012		2026-07-28	BIGGS-SHEET
SSA:0010372	alive	2018		2026-07-28	BIGGS-SHEET
SSA:0010373	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010374	alive	1984		2026-07-28	BIGGS-SHEET
SSA:0010375	alive	1996		2026-07-28	BIGGS-SHEET
SSA:0010376	alive	2024		2026-07-28	BIGGS-SHEET
SSA:0010377	alive	2001		2026-07-28	BIGGS-SHEET
SSA:0010378	alive	2013		2026-07-28	BIGGS-SHEET
SSA:0010379	alive	2016		2026-07-28	BIGGS-SHEET
SSA:0010380	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010381	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010382	alive	2010		2026-07-28	BIGGS-SHEET
SSA:0010383	alive	2021		2026-07-28	BIGGS-SHEET
SSA:0010384	alive	2016		2026-07-28	BIGGS-SHEET
SSA:0010385	alive	2021		2026-07-28	BIGGS-SHEET
SSA:0010386	alive	1992		2026-07-28	BIGGS-SHEET
SSA:0010387	alive	1996		2026-07-28	BIGGS-SHEET
SSA:0010388	alive	2014		2026-07-28	BIGGS-SHEET
