entity_id	ancestor_id	depth	ancestor_label	ancestor_kind	ancestor_rank
SSA:0002069	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002069	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002070	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002070	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002071	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002071	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002072	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002072	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002073	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002073	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002074	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002074	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002075	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002075	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002076	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002076	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002077	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002077	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002078	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002078	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002079	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002079	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002080	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002080	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002081	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002081	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002082	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002082	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002083	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002083	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002084	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002084	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002085	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002085	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002086	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002086	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002087	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002087	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002088	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002088	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002089	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002089	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002090	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002090	SSA:0000900	2	Orcinus orca	taxon	
